Replacement,Original
colour,color
colours,colors
colourless,colorless
colourblind,colorblind
grey,gray
greyscale,grayscale
greyed,grayed
greying,graying
Artemis,artemus
Artemis,Aramis
God,god
Frigg,frig
Loki,loki
Óðinn,odin
goði,bothy
mjölnir,thors hammer
mjölnir,thors hama
mjölnir,thaws hammer
mjölnir,thaws hama
Hel,lady hell
tech,tach
fedi,fatty
and,ing
to,ta
speech,speach
pendant,pendent
for me,forme
find a way,find away
look in,lookin
op shop, up shop
op shop, of shop
darn fun, don fun
talon voice,talent voice
talon slack,talent slack
talon config,talent config
talon wiki,talent wiki
halley,Halley
halley,halle
xterm,ex term
xterm,ex time
